file,severity,score,tier,flags
malware_xor_ddos.yaml,critical,50,3-acceptable,no_http_block
malware_yayih.yaml,critical,50,3-acceptable,no_http_block
malware_zeghost.yaml,critical,50,3-acceptable,no_http_block
rce-CVE-2021-21224.yaml,critical,50,3-acceptable,no_http_block
saprouter-information-leak.yaml,critical,50,3-acceptable,no_http_block
vsftpd-detection-11075.yaml,critical,50,3-acceptable,no_http_block
websphere-portal-preauth-ssrf.yaml,critical,50,3-acceptable,single_weak_word_matcher|active_probe_path
abtest-39d3fe7a9802926d9690c0be584452cd.yaml,critical,55,3-acceptable,cve_tagged_missing_cve_id|strong_and_matchers|single_weak_word_matcher|readme_only_path
angwp-eae84d4a5d4fc7d02f96307ba7a70470.yaml,critical,55,3-acceptable,cve_tagged_missing_cve_id|strong_and_matchers|single_weak_word_matcher|readme_only_path
buffalo-config-injection-798.yaml,critical,55,3-acceptable,
dos.yaml,critical,55,3-acceptable,
fanwei-e-office-v10-fileupload.yaml,critical,55,3-acceptable,
give-112264ab3902538deb74d81d0df897a5.yaml,critical,55,3-acceptable,cve_tagged_missing_cve_id|strong_and_matchers|single_weak_word_matcher|readme_only_path
knews-be11ae44df722e5aeb00322f5c1e52f3.yaml,critical,55,3-acceptable,cve_tagged_missing_cve_id|strong_and_matchers|single_weak_word_matcher|readme_only_path
lim4wp-bdfc359e3288238435c76be20d0c749a.yaml,critical,55,3-acceptable,cve_tagged_missing_cve_id|strong_and_matchers|single_weak_word_matcher|readme_only_path
maian-cart-preauth-rce-8720.yaml,critical,55,3-acceptable,
p3-6dcfd59eb9023dd274849a0cdb955ea0.yaml,critical,55,3-acceptable,cve_tagged_missing_cve_id|strong_and_matchers|single_weak_word_matcher|readme_only_path
pods-f677fd4ed840cdc32676fb4284487d92.yaml,critical,55,3-acceptable,cve_tagged_missing_cve_id|strong_and_matchers|single_weak_word_matcher|readme_only_path
realia-0d0f38f3e987ffc5255d449e133645e4.yaml,critical,55,3-acceptable,cve_tagged_missing_cve_id|strong_and_matchers|single_weak_word_matcher|readme_only_path
springcloud-function-spel-rce.yaml,critical,55,3-acceptable,
woopra-be0339acf39afa1f4eb0917ee89bc9bd.yaml,critical,55,3-acceptable,cve_tagged_missing_cve_id|strong_and_matchers|single_weak_word_matcher|readme_only_path
worker-546c9ba25aa99a15a49996fe806357de.yaml,critical,55,3-acceptable,cve_tagged_missing_cve_id|strong_and_matchers|single_weak_word_matcher|readme_only_path
wpshop-8fc385803c297c5cf9b4c336cbcebc3f.yaml,critical,55,3-acceptable,cve_tagged_missing_cve_id|strong_and_matchers|single_weak_word_matcher|readme_only_path
CVE-2022-4298.yaml,critical,60,3-acceptable,single_weak_word_matcher
Yes-467c7b51e6bc4bc52d8dc16c11e26276.yaml,critical,60,3-acceptable,cve_tagged_missing_cve_id|active_probe_path
Yes-54352bb27e283068106463650349a723.yaml,critical,60,3-acceptable,cve_tagged_missing_cve_id|active_probe_path
apache-httpd-rce-362.yaml,critical,60,3-acceptable,cve_tagged_missing_cve_id
cve-2018-1207-3230.yaml,critical,60,3-acceptable,cve_tagged_missing_cve_id|active_probe_path
cve-2018-17431-3424.yaml,critical,60,3-acceptable,cve_tagged_missing_cve_id
cve-2019-9733-4312.yaml,critical,60,3-acceptable,cve_tagged_missing_cve_id
cve-2020-12720-4479.yaml,critical,60,3-acceptable,cve_tagged_missing_cve_id
cve-2020-24186-4795.yaml,critical,60,3-acceptable,cve_tagged_missing_cve_id
cve-2020-35951-5108.yaml,critical,60,3-acceptable,cve_tagged_missing_cve_id
cve-2020-36112-5116.yaml,critical,60,3-acceptable,cve_tagged_missing_cve_id
cve-2021-21975-5560.yaml,critical,60,3-acceptable,cve_tagged_missing_cve_id
